title,artist,album
Shock Me,Kiss,Alive II
Europa,Carlos Santana,Amigos
Sympathy for the Devil,Rolling Stones,Beggars Banquet
Jessica,Allman Brothers Band,Brothers and Sisters
Hot for Teacher,Van Halen,1984
Light My Fire,The Doors,The Doors
Alive,Pearl Jam,Ten
Sharp Dressed Man,ZZ Top,Eliminator
While My Guitar Gently Weeps,The Beatles,The Beatles (White Album)
Brighton Rock,Queen,Sheer Heart Attack
Reelin' in the Years,Steely Dan,Can't Buy a Thrill
Cortez the Killer,Neil Young and Crazy Horse,Zuma
Whole Lotta Love,Led Zeppelin,Led Zeppelin II
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction
Black Star,Yngwie Malmsteen,Rising Force
Cemetery Gates,Pantera,Cowboys from Hell
Paranoid Android,Radiohead,OK Computer
The Thrill Is Gone,B.B. King,Completely Well
Machine Gun,Jimi Hendrix,Band of Gypsys
Stranglehold,Ted Nugent,Ted Nugent
Surfing with the Alien,Joe Satriani,Surfing with the Alien
For the Love of God,Steve Vai,Passion and Warfare
Mr. Crowley,Ozzy Osbourne,Blizzard of Ozz
Pride and Joy,Stevie Ray Vaughan,Texas Flood
Smells Like Teen Spirit,Nirvana,Nevermind
Aqualung,Jethro Tull,Aqualung
Fade to Black,Metallica,Ride the Lightning
Bulls on Parade,Rage Against the Machine,Evil Empire
Sultans of Swing,Dire Straits,Dire Straits
Time,Pink Floyd,Dark Side of the Moon
Bohemian Rhapsody,Queen,Night at the Opera
Floods,Pantera,The Great Southern Trendkill
Little Wing,The Jimi Hendrix Experience,Axis: Bold as Love
Cliffs of Dover,Eric Johnson,Ah Via Musicom
Heartbreaker,Led Zeppelin,Led Zeppelin II
Highway Star,Deep Purple,Machine Head
Layla,Derek and the Dominos,Layla and Other Assorted Love Songs
Texas Flood,Stevie Ray Vaughan,Texas Flood
Johnny B. Goode,Chuck Berry,His Best Volume One
Voodoo Child (Slight Return),Jimi Hendrix Experience,Electric Ladyland
Crossroads,Cream,Wheels of Fire
Crazy Train,Ozzy Osbourne,Blizzard of Ozz
Hotel California,The Eagles,Hotel California
One,Metallica,And Justice for All
November Rain,Guns N' Roses,Use Your Illusion I
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland
Comfortably Numb,Pink Floyd,The Wall
Free Bird,Lynyrd Skynyrd,
Eruption,Van Halen,Van Halen
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV